customer_id,customer_name,email,city,state,signup_date,customer_segment_x,recency_days,frequency,monetary,rfm_total,customer_segment_y
C00001,Aarav Rao,aarav.rao1@example.com,Hyderabad,Telangana,2022-09-08,Regular,554.0,3.0,23118.16,10.0,Champions
C00002,Arjun Reddy,arjun.reddy2@example.com,Pune,Maharashtra,2023-11-24,Regular,69.0,2.0,10828.62,6.0,Lost / Churned
C00003,Aditya Kulkarni,aditya.kulkarni3@example.com,Coimbatore,Tamil Nadu,2023-03-09,Regular,,,,,
C00004,Aarav Gupta,aarav.gupta4@example.com,Delhi,Delhi,2022-08-12,Regular,14.0,3.0,35813.81,7.0,At Risk (was loyal)
C00005,Pari Shah,pari.shah5@example.com,Pune,Maharashtra,2022-01-28,Regular,629.0,1.0,1761.51,6.0,New / Promising
C00006,Ishaan Agarwal,ishaan.agarwal6@example.com,Coimbatore,Tamil Nadu,2023-03-06,VIP,450.0,1.0,3297.55,6.0,New / Promising
C00007,Myra Kulkarni,myra.kulkarni7@example.com,Pune,Maharashtra,2022-10-12,New,508.0,2.0,20473.08,9.0,New / Promising
C00008,Amit Nair,amit.nair8@example.com,Mumbai,Maharashtra,2023-12-16,New,,,,,
C00009,Ananya Rao,ananya.rao9@example.com,Nagpur,Maharashtra,2022-06-09,VIP,256.0,2.0,20623.82,8.0,New / Promising
C00010,Amit Kapoor,amit.kapoor10@example.com,Kolkata,West Bengal,2022-04-15,Loyal,286.0,2.0,6238.43,6.0,New / Promising
C00011,Saanvi Reddy,saanvi.reddy11@example.com,Bengaluru,Karnataka,2023-01-03,Regular,672.0,4.0,24515.91,11.0,Champions
C00012,Sara Rao,sara.rao12@example.com,Surat,Gujarat,2024-04-06,Regular,,,,,
C00013,Pooja Das,pooja.das13@example.com,Delhi,Delhi,2023-07-04,New,,,,,
C00014,Meera Joshi,meera.joshi14@example.com,Hyderabad,Telangana,2022-03-22,New,21.0,8.0,56815.87,9.0,At Risk (was loyal)
C00015,Kabir Shah,kabir.shah15@example.com,Coimbatore,Tamil Nadu,2024-06-25,Regular,45.0,1.0,503.35,3.0,Lost / Churned
C00016,Ira Singh,ira.singh16@example.com,Surat,Gujarat,2023-12-23,Regular,,,,,
C00017,Vivaan Patel,vivaan.patel17@example.com,Bengaluru,Karnataka,2024-03-02,Regular,12.0,3.0,58190.16,8.0,At Risk (was loyal)
C00018,Aditya Patel,aditya.patel18@example.com,Lucknow,Uttar Pradesh,2024-06-06,New,40.0,2.0,7773.76,5.0,Lost / Churned
C00019,Saanvi Rao,saanvi.rao19@example.com,Hyderabad,Telangana,2023-04-10,VIP,434.0,3.0,113804.92,11.0,Champions
C00020,Reyansh Malhotra,reyansh.malhotra20@example.com,Surat,Gujarat,2022-12-30,VIP,152.0,2.0,13232.67,6.0,Lost / Churned
C00021,Karan Rao,karan.rao21@example.com,Kolkata,West Bengal,2023-12-20,Regular,109.0,2.0,29947.69,7.0,Lost / Churned
C00022,Sara Nair,sara.nair22@example.com,Bengaluru,Karnataka,2023-07-01,Regular,303.0,3.0,45241.18,10.0,Champions
C00023,Reyansh Das,reyansh.das23@example.com,Pune,Maharashtra,2023-01-24,New,189.0,4.0,69618.84,11.0,Champions
C00024,Meera Agarwal,meera.agarwal24@example.com,Jaipur,Rajasthan,2022-08-13,Loyal,324.0,3.0,25208.87,9.0,Champions
C00025,Priya Verma,priya.verma25@example.com,Aligarh,Uttar Pradesh,2022-08-23,Regular,314.0,4.0,35675.22,10.0,Champions
C00026,Sunil Kapoor,sunil.kapoor26@example.com,Delhi,Delhi,2023-02-15,New,66.0,5.0,25422.6,9.0,At Risk (was loyal)
C00027,Aditya Singh,aditya.singh27@example.com,Jaipur,Rajasthan,2024-07-24,VIP,28.0,1.0,10639.24,4.0,Lost / Churned
C00028,Ishaan Bose,ishaan.bose28@example.com,Aligarh,Uttar Pradesh,2023-02-10,Loyal,622.0,1.0,572.98,6.0,New / Promising
C00029,Arjun Rao,arjun.rao29@example.com,Patna,Bihar,2022-05-23,VIP,575.0,3.0,39026.5,10.0,Champions
C00030,Pooja Agarwal,pooja.agarwal30@example.com,Pune,Maharashtra,2023-07-06,Loyal,295.0,2.0,19488.19,8.0,New / Promising
C00031,Pooja Kulkarni,pooja.kulkarni31@example.com,Jaipur,Rajasthan,2023-03-15,Regular,127.0,3.0,23038.5,8.0,At Risk (was loyal)
C00032,Diya Patel,diya.patel32@example.com,Indore,Madhya Pradesh,2022-05-22,Regular,448.0,5.0,171652.49,12.0,Champions
C00033,Anika Gupta,anika.gupta33@example.com,Chandigarh,Chandigarh,2024-02-13,VIP,234.0,3.0,15086.64,8.0,Regular
C00034,Kavya Reddy,kavya.reddy34@example.com,Delhi,Delhi,2022-06-06,Loyal,323.0,3.0,11293.0,8.0,Regular
C00035,Sunil Chopra,sunil.chopra35@example.com,Chennai,Tamil Nadu,2023-09-03,New,281.0,1.0,95251.47,9.0,New / Promising
C00036,Saanvi Joshi,saanvi.joshi36@example.com,Bengaluru,Karnataka,2023-09-03,New,42.0,4.0,70923.7,9.0,At Risk (was loyal)
C00037,Pari Rao,pari.rao37@example.com,Patna,Bihar,2024-09-21,Regular,,,,,
C00038,Kavya Sharma,kavya.sharma38@example.com,Coimbatore,Tamil Nadu,2023-11-28,Loyal,59.0,1.0,1196.79,4.0,Lost / Churned
C00039,Karan Agarwal,karan.agarwal39@example.com,Hyderabad,Telangana,2024-02-08,VIP,230.0,2.0,7504.89,7.0,New / Promising
C00040,Amit Kapoor,amit.kapoor40@example.com,Jaipur,Rajasthan,2022-04-25,New,715.0,1.0,2877.47,6.0,New / Promising
C00041,Aadhya Nair,aadhya.nair41@example.com,Lucknow,Uttar Pradesh,2023-04-10,Regular,280.0,3.0,20272.38,9.0,Champions
C00042,Pooja Rao,pooja.rao42@example.com,Mumbai,Maharashtra,2024-09-22,Regular,17.0,1.0,162.51,3.0,Lost / Churned
C00043,Amit Nair,amit.nair43@example.com,Chandigarh,Chandigarh,2023-06-04,VIP,81.0,3.0,35464.45,8.0,At Risk (was loyal)
C00044,Kavya Mehta,kavya.mehta44@example.com,Hyderabad,Telangana,2024-05-11,Loyal,,,,,
C00045,Sara Singh,sara.singh45@example.com,Chandigarh,Chandigarh,2022-06-06,Loyal,158.0,5.0,86807.93,10.0,At Risk (was loyal)
C00046,Amit Nair,amit.nair46@example.com,Surat,Gujarat,2023-07-07,Regular,363.0,2.0,44215.44,10.0,New / Promising
C00047,Meera Sharma,meera.sharma47@example.com,Chandigarh,Chandigarh,2023-09-06,Regular,254.0,2.0,16671.86,7.0,New / Promising
C00048,Anika Sharma,anika.sharma48@example.com,Aligarh,Uttar Pradesh,2022-04-25,New,208.0,3.0,50045.42,10.0,Champions
C00049,Nikhil Mehta,nikhil.mehta49@example.com,Surat,Gujarat,2022-09-03,New,44.0,3.0,136388.21,8.0,At Risk (was loyal)
C00050,Sai Kulkarni,sai.kulkarni50@example.com,Delhi,Delhi,2024-08-27,Loyal,12.0,1.0,4669.63,3.0,Lost / Churned
C00051,Aditya Bose,aditya.bose51@example.com,Bengaluru,Karnataka,2024-04-15,Loyal,106.0,1.0,8346.96,5.0,Lost / Churned
C00052,Amit Agarwal,amit.agarwal52@example.com,Bengaluru,Karnataka,2024-02-24,VIP,16.0,2.0,3586.42,4.0,Lost / Churned
C00053,Arjun Bose,arjun.bose53@example.com,Ahmedabad,Gujarat,2024-08-27,VIP,28.0,1.0,35976.97,6.0,Lost / Churned
C00054,Reyansh Rao,reyansh.rao54@example.com,Coimbatore,Tamil Nadu,2023-06-25,Regular,182.0,4.0,10637.93,7.0,At Risk (was loyal)
C00055,Ishaan Agarwal,ishaan.agarwal55@example.com,Nagpur,Maharashtra,2024-02-13,Loyal,,,,,
C00056,Neha Mehta,neha.mehta56@example.com,Kolkata,West Bengal,2023-02-13,VIP,19.0,2.0,51087.65,8.0,At Risk (was loyal)
C00057,Myra Pillai,myra.pillai57@example.com,Surat,Gujarat,2023-04-08,Loyal,26.0,3.0,30139.44,7.0,At Risk (was loyal)
C00058,Sai Patel,sai.patel58@example.com,Hyderabad,Telangana,2022-03-07,New,480.0,1.0,556.29,6.0,New / Promising
C00059,Aarav Kulkarni,aarav.kulkarni59@example.com,Aligarh,Uttar Pradesh,2023-07-22,Regular,195.0,3.0,79003.2,10.0,Champions
C00060,Ira Patel,ira.patel60@example.com,Pune,Maharashtra,2022-01-08,New,25.0,6.0,42330.83,9.0,At Risk (was loyal)
C00061,Neha Verma,neha.verma61@example.com,Bengaluru,Karnataka,2022-08-23,VIP,395.0,4.0,19901.1,10.0,Champions
C00062,Nikhil Verma,nikhil.verma62@example.com,Bengaluru,Karnataka,2024-05-30,Regular,171.0,1.0,24632.35,6.0,Lost / Churned
C00063,Aditya Pillai,aditya.pillai63@example.com,Aligarh,Uttar Pradesh,2022-09-01,New,221.0,2.0,11728.03,7.0,New / Promising
C00064,Karan Bose,karan.bose64@example.com,Jaipur,Rajasthan,2022-08-08,Regular,568.0,2.0,9407.29,8.0,New / Promising
C00065,Arjun Kulkarni,arjun.kulkarni65@example.com,Coimbatore,Tamil Nadu,2023-08-14,Regular,424.0,3.0,11499.45,9.0,Regular
C00066,Sai Bose,sai.bose66@example.com,Kochi,Kerala,2024-04-06,Regular,47.0,4.0,17055.72,6.0,At Risk (was loyal)
C00067,Ishaan Reddy,ishaan.reddy67@example.com,Nagpur,Maharashtra,2022-04-10,New,687.0,1.0,6752.27,6.0,New / Promising
C00068,Diya Chopra,diya.chopra68@example.com,Nagpur,Maharashtra,2023-02-25,Regular,14.0,1.0,25901.96,5.0,Lost / Churned
C00069,Kavya Verma,kavya.verma69@example.com,Patna,Bihar,2023-11-21,Regular,59.0,2.0,19969.63,7.0,Lost / Churned
C00070,Vivaan Joshi,vivaan.joshi70@example.com,Hyderabad,Telangana,2024-01-16,Loyal,321.0,1.0,486.61,5.0,New / Promising
C00071,Sunil Reddy,sunil.reddy71@example.com,Aligarh,Uttar Pradesh,2022-09-12,Regular,15.0,1.0,7749.38,4.0,Lost / Churned
C00072,Ishaan Agarwal,ishaan.agarwal72@example.com,Kolkata,West Bengal,2023-04-05,Loyal,433.0,1.0,227.8,6.0,New / Promising
C00073,Aadhya Nair,aadhya.nair73@example.com,Ahmedabad,Gujarat,2022-10-13,Regular,410.0,2.0,9224.1,8.0,New / Promising
C00074,Sai Gupta,sai.gupta74@example.com,Patna,Bihar,2023-03-30,Regular,199.0,3.0,9073.15,8.0,Regular
C00075,Vihaan Verma,vihaan.verma75@example.com,Coimbatore,Tamil Nadu,2023-10-30,Loyal,378.0,1.0,2731.15,6.0,New / Promising
C00076,Priya Sharma,priya.sharma76@example.com,Coimbatore,Tamil Nadu,2024-09-19,Regular,25.0,1.0,227.36,3.0,Lost / Churned
C00077,Meera Patel,meera.patel77@example.com,Bengaluru,Karnataka,2022-06-20,New,234.0,3.0,72455.98,10.0,Champions
C00078,Anika Bose,anika.bose78@example.com,Nagpur,Maharashtra,2022-08-07,New,419.0,2.0,18942.39,9.0,New / Promising
C00079,Nikhil Verma,nikhil.verma79@example.com,Indore,Madhya Pradesh,2022-06-18,Loyal,10.0,6.0,32981.79,8.0,At Risk (was loyal)
C00080,Aarav Joshi,aarav.joshi80@example.com,Indore,Madhya Pradesh,2022-09-29,Regular,407.0,2.0,5360.29,7.0,New / Promising
C00081,Kabir Chopra,kabir.chopra81@example.com,Patna,Bihar,2023-12-15,Loyal,221.0,2.0,1787.0,6.0,New / Promising
C00082,Karan Bose,karan.bose82@example.com,Coimbatore,Tamil Nadu,2022-06-08,New,189.0,2.0,28919.47,7.0,Lost / Churned
C00083,Kabir Singh,kabir.singh83@example.com,Kolkata,West Bengal,2024-09-18,New,59.0,1.0,999.48,4.0,Lost / Churned
C00084,Ira Agarwal,ira.agarwal84@example.com,Delhi,Delhi,2022-03-04,New,46.0,5.0,50381.32,9.0,At Risk (was loyal)
